# This is an integration map on mu of xi_lensing.
# The following parameters were used for this computation: 
# 	 h_0 = 0.7 	 	 EVERYTHING IS MEASURED WITHOUT h_0!
# 	 z_min = 0.05 	 z_max = 0.2 	 z_eff = 0.15046
# 	 s_min = 148.192 	s_max = 571.702 	 s_eff = 435.375
# 	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
# The comoving distances s are measured in Mpc/h_0.
# computational time needed (in s) : 69.1553
# kwards passed: 
# 		χ_atol = 0.01
# 		χ_rtol = 0.01
# 		atol = 0.001
# 		rtol = 0.01
# 		tol = 0.5

s 	 xi 	 xi_error
11.497569953977356 	 1.6178610624288966e-5 	 9.978938335851062e-8
12.618568830660204 	 1.5294224267711315e-5 	 8.458409690399104e-8
13.848863713938732 	 1.4446811735729007e-5 	 9.704012876820833e-8
15.199110829529339 	 1.3577882217621255e-5 	 7.951638534744543e-8
16.68100537200059 	 1.2736305911171101e-5 	 9.089725618685573e-8
18.30738280295368 	 1.1903946126246673e-5 	 8.359937557586683e-8
20.09233002565047 	 1.1081351951482035e-5 	 7.41640597340778e-8
22.051307399030456 	 1.0283180177807544e-5 	 6.086542256776628e-8
24.20128264794382 	 9.477042417928178e-6 	 8.954922772773077e-8
26.560877829466868 	 8.708112495071969e-6 	 7.739817299298312e-8
29.150530628251772 	 8.009479642658645e-6 	 4.359622790089546e-8
31.992671377973828 	 7.31319605082631e-6 	 6.614811724716474e-8
35.11191734215131 	 6.662119998584794e-6 	 3.7833821037641435e-8
38.53528593710529 	 6.037282183753436e-6 	 3.8347035485616575e-8
42.29242874389499 	 5.485086524741332e-6 	 2.6442804435227175e-8
46.4158883361278 	 5.2530579745104474e-6 	 4.074150585120773e-8
50.94138014816378 	 4.569657092899015e-6 	 4.120146866356855e-8
55.90810182512222 	 4.056235291002825e-6 	 3.962227248161754e-8
61.35907273413173 	 3.7223136927587035e-6 	 2.2538446538875045e-8
67.34150657750821 	 3.27792499074852e-6 	 2.363765261052636e-8
73.90722033525779 	 2.914012522775342e-6 	 2.8704032354068153e-8
81.11308307896873 	 2.572607228354184e-6 	 1.1877830401798128e-8
89.02150854450383 	 2.3253669864234255e-6 	 2.1337430444194645e-8
97.70099572992251 	 1.9927752269413906e-6 	 1.805208759907001e-8
107.22672220103232 	 1.6789061918183328e-6 	 1.4858797821520858e-8
117.68119524349979 	 1.4191929200450736e-6 	 7.808942921220252e-9
129.1549665014884 	 1.2352025055230195e-6 	 1.2203876480840841e-8
141.74741629268047 	 1.0136655346685327e-6 	 9.42590337192226e-9
155.56761439304722 	 6.778602109958545e-7 	 6.6971545279067635e-9
170.73526474706904 	 4.791528933989353e-7 	 3.9992026808672695e-9
187.3817422860385 	 3.2066696325248085e-7 	 2.963141726510226e-9
205.65123083486515 	 1.3908738857544526e-7 	 1.3109248842101614e-9
225.7019719633919 	 7.959921486099996e-8 	 8.242650317672745e-10
247.70763559917114 	 5.300338552727083e-8 	 9.961332526907254e-10
271.85882427329403 	 2.3637654256636648e-8 	 9.544280894740008e-10
