###############
#    GaPSE    #
############### 
#
# This is the sum of all the GR effects TPCFs without window F:
# LD (16), GNC (25), GNCxLD (20), LDxGNC (20)
#
# The Cosmology considered had the following paremeters:
# 
# - Matter Power Spectrum input file: "../test/datatest/file_pk.txt"
# - Background data input file: "../test/datatest/WideA_ZA_background.dat"
# - F window function input file: "../data/F_REFERENCE_pi2.txt"
# - Integrated F window function input file: "../data/IntF_pi2_z115.txt"
#
# - Basic CosmoParams considered: 
#	 z_min = 1.0 	 z_max = 1.5
#	 θ_max = 1.5707963267948966 [rad] 	 h_0 = 0.7
#	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
#	 b = 1.0 	 f_evo = 0.0 	 s_b = 0.0
#
# - CosmoParams about the Input Power Spectrum: 
#	 fit_left_min = 1.0e-6 	 fit_right_min = 10.0 	 
#	 fit_left_max = 3.0e-6 	 fit_right_max = 20.0 	 
#
# - CosmoParams about the Input Power Spectrum Tools: 
#	 k_max = 10.0 	 fit_max = 0.5 	 N = 1024 	 
#	 con = true 	 k_min = 1.0e-8 	 fit_min = 0.05 	 
#
# - CosmoParams about the Integrated Window Function F: 
#	 ss_step = 50 	 N = 1000 	 rtol = 0.05 	 
#	 llim = 0.0 	 atol = 0.0 	 rlim = Inf 	 
#	 ss_stop = 0.0 	 trap = true 	 ss_start = 0.0 	 
#
# - Computed quantities: 
# 	 effective redshift z_eff = 1.2613556177172356 
# 	 comoving s_min = 2312.577431755554 Mpc/h_0
# 	 comoving s_max = 3054.4830200675647 Mpc/h_0
# 	 comoving s_eff = 2725.87720083235 Mpc/h_0
# 	 Volume of the survey V_survey = 3.378305693005294e10 Mpc^3/h_0^3
# 	 σ_0 = 15.593462966741178
# 	 σ_1 = 15.074895881392285
# 	 σ_2 = 100.85852368830226
# 	 σ_3 = 3735.1226181519773
# 	 (where σ_i = \int_{k_{min}}^{k_{max}}\frac{dq}{2 π^2} q^{2-i} P(q))
# 
# s [Mpc/h_0] 	 xi_ALLSUMMED_noF
2.953934068968377 	 0.9645076807729628
3.00599260178879 	 0.9450468618220632
3.0589685859727536 	 0.9258581764704834
3.1128781901857843 	 0.9070219687287979
3.167737868041197 	 0.888504064181056
3.223564363121867 	 0.8715578964790461
3.2803747140904993 	 1.8852657871208691
3.3381862598899525 	 0.831959794367395
3.3970166450352193 	 0.8174552860250465
3.4568838249986547 	 0.8001208327586652
3.51780607169013 	 0.7833212724675818
3.579801979033751 	 0.76681547394278
3.6428904686428605 	 0.7506133837034007
3.7070907955950605 	 0.7346969769971902
3.7724225543090033 	 0.7190719831536205
3.838905684524751 	 0.7037299656930004
3.9065604773895406 	 0.6886703789930306
3.9754075816507863 	 0.6738886034436123
4.045468009958233 	 0.6593816261210561
4.1167631452771785 	 0.645146247253098
4.189314747414704 	 0.6311782803760229
4.263144959660941 	 0.617473002930433
4.338276315547362 	 0.6040279371868322
4.414731745724182 	 0.5908365526960769
4.492534584958967 	 0.5778956602525965
4.571708579258576 	 0.5651998014385775
4.652277893116625 	 0.5527443479065137
4.734267116888661 	 0.5405235483240708
4.817701274297335 	 0.5285329962955531
4.902605830069813 	 0.5167670333267964
4.989006697709819 	 0.4881941250835109
5.076930247406609 	 0.49388194153234977
5.166403314083369 	 0.4827539013473565
5.2574532055874235 	 0.4718280142339423
5.3501077110247905 	 0.4610980001531852
5.444395109241635 	 0.450558735046166
5.540344177455178 	 0.4402128172481852
5.63798420003671 	 0.43003309255787264
5.737344977449417 	 0.39195375680627187
5.83845683534369 	 0.410208809277548
5.941350633812743 	 0.40061732908755476
6.046057776811348 	 0.3910287822680759
6.152610221740549 	 0.3815483287798675
6.2610404892013065 	 -9.37372441133802
6.371381672920025 	 0.3632627086473433
6.4836674498489995 	 0.3546012761853192
6.597932090444882 	 0.3458730532100244
6.714210469128275 	 0.3372823416799432
6.832538074927663 	 0.32883565877028925
6.952951022310933 	 0.32053240867308347
7.075486062207781 	 0.3123725700721739
7.20018059322636 	 0.3043555898832109
7.327072673067628 	 0.29648220146044624
7.456201030140828 	 0.28875319717273823
7.587605075383698 	 0.2811671791522902
7.721324914290984 	 0.2737460045593105
7.857401359154923 	 0.2655904165640052
7.995875941521473 	 0.346708695924211
8.136790924866046 	 0.251570970992479
8.280189317492631 	 0.24545447160386866
8.426114885660258 	 0.23876118900440818
8.574612166940781 	 0.23221837913712653
8.725726483812073 	 0.22582736222501987
8.879503957490801 	 0.21958860707023414
9.035991522008938 	 0.21349082610821768
9.195236938538413 	 0.2173070895016217
9.357288809968146 	 0.20168037526721933
9.522196595738032 	 0.19611251164388263
9.690010626934324 	 0.19060072024426064
9.860782121651058 	 0.18522661296230605
10.03456320062219 	 0.17998335797053863
10.211406903129243 	 0.17487737780896234
10.391367203189287 	 0.16987848613848414
10.574499026028219 	 0.1735183623311775
10.760858264844325 	 0.1602777130399128
10.950501797867338 	 0.15559657577664238
