# Matter power spectrum P(k) at redshift z=0
# for k=2.05615e-07 to 20.2282 h/Mpc,
# number of wavenumbers equal to 421
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.154375562093e-01       4.431664048293e+02 
       4.297635501509e-01       4.131680637203e+02 
       4.446680550168e-01       3.858920308835e+02 
       4.601896875210e-01       3.592325440529e+02 
       4.763716303188e-01       3.333020569064e+02 
       4.932622853644e-01       3.094356209438e+02 
       5.109160006046e-01       2.874776484970e+02 
       5.293938591799e-01       2.664182092917e+02 
       5.487645054395e-01       2.463772393255e+02 
       5.691049590259e-01       2.277993848577e+02 
       5.905013345824e-01       2.103044085492e+02 
       6.130493386908e-01       1.937059655032e+02 
       6.368543590204e-01       1.781933583545e+02 
       6.620309019751e-01       1.636092942381e+02 
       6.887010957654e-01       1.498898226724e+02 
       7.169919952139e-01       1.370612660384e+02 
       7.470315585607e-01       1.250435435221e+02 
       7.789434670136e-01       1.138371923303e+02 
       8.128414234879e-01       1.034069112770e+02 
       8.488240765650e-01       9.374068920421e+01 
       8.869720031215e-01       8.481454548922e+01 
       9.273479443031e-01       7.660894515576e+01 
       9.700006296807e-01       6.909461962166e+01 
       1.014971356662e+00       6.223930689220e+01 
       1.062301617037e+00       5.600521018374e+01 
       1.112039936558e+00       5.035238588857e+01 
       1.164246687479e+00       4.523841040591e+01 
       1.218996518589e+00       4.061969868922e+01 
       1.276378766663e+00       3.645316148151e+01 
       1.336496557164e+00       3.269855856197e+01 
       1.399465310696e+00       2.931823796845e+01 
       1.465411194819e+00       2.627675181370e+01 
       1.534469836588e+00       2.354137101455e+01 
       1.606785421011e+00       2.108278121255e+01 
       1.682510174151e+00       1.887412514920e+01 
       1.761804164883e+00       1.689063404360e+01 
       1.844835340495e+00       1.511027296449e+01 
       1.931779719303e+00       1.351295081322e+01 
       2.022821682649e+00       1.208032551247e+01 
       2.118154328647e+00       1.079604981549e+01 
       2.217979865939e+00       9.645144814410e+00 
       2.322510036439e+00       8.614190353840e+00 
       2.431966562247e+00       7.691027250815e+00 
       2.546581615225e+00       6.864692663964e+00 
       2.666598309242e+00       6.125299529741e+00 
       2.792271215792e+00       5.463932414195e+00 
       2.923866903956e+00       4.872566673881e+00 
       3.061664505834e+00       4.343975130125e+00 
       3.205956308613e+00       3.871646191194e+00 
       3.357048374552e+00       3.449734099286e+00 
       3.515261190181e+00       3.072975874387e+00 
       3.680930346094e+00       2.736644081569e+00 
       3.854407248782e+00       2.436494954866e+00 
       4.036059866014e+00       2.168716093828e+00 
       4.226273507346e+00       1.929886535432e+00 
       4.425451641413e+00       1.716938712546e+00 
       4.634016751742e+00       1.527121690692e+00 
       4.852411232896e+00       1.357970004488e+00 
       5.081098328848e+00       1.207275008100e+00 
       5.320563115590e+00       1.073058663624e+00 
       5.571313530041e+00       9.535504881858e-01 
       5.833881447448e+00       8.471660486018e-01 
       6.108823809568e+00       7.524882135690e-01 
       6.396723806011e+00       6.682497413836e-01 
       6.698192111271e+00       5.933176606060e-01 
       7.013868180042e+00       5.266798236269e-01 
       7.344421603587e+00       4.674320924843e-01 
       7.690553530038e+00       4.147670239612e-01 
       8.052998151617e+00       3.679638711996e-01 
       8.432524261959e+00       3.263793450735e-01 
       8.829936886829e+00       2.894396973552e-01 
       9.246078991686e+00       2.566331282095e-01 
       9.681833269728e+00       2.275033210450e-01 
       1.013812401420e+01       2.016435919771e-01 
       1.061591907895e+01       1.786914886312e-01 
       1.111623193137e+01       1.583241626182e-01 
       1.164012380209e+01       1.402541034284e-01 
       1.218870593602e+01       1.242252741642e-01 
       1.276314194940e+01       1.100098160631e-01 
       1.336465029804e+01       9.740493295096e-02 
       1.399450686180e+01       8.623019911705e-02 
       1.465404765088e+01       7.632515727530e-02 
       1.534467163974e+01       6.754709953692e-02 
       1.606784373443e+01       5.976916528684e-02 
       1.682509787995e+01       5.287859920061e-02 
       1.761804031384e+01       4.677519966467e-02 
       1.844835297334e+01       4.136995007535e-02 
       1.931779706290e+01       3.658377840017e-02 
       2.022821679002e+01       3.234647348021e-02 
