###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
400.0	 -0.05 	 2.001411781733217e11
400.0	 0.0 	 1.9367462596380273e11
400.0	 0.05 	 1.843315161407161e11
400.0	 0.1 	 1.7836893126347867e11
400.0	 0.15 	 1.7195730189647934e11
400.0	 0.2 	 1.6608388112691437e11
400.0	 0.25 	 1.6014543875094278e11
400.0	 0.3 	 1.543399509537489e11
400.0	 0.35 	 1.4874681730753964e11
400.0	 0.4 	 1.4310028677813898e11
400.0	 0.45 	 1.3759135673332568e11
400.0	 0.5 	 1.3214226021841136e11
400.0	 0.55 	 1.2683026272420264e11
400.0	 0.6 	 1.2147314370682784e11
400.0	 0.65 	 1.1635577997139491e11
400.0	 0.7 	 1.110827093564999e11
400.0	 0.75 	 1.0604959965995181e11
400.0	 0.8 	 1.0131731536396762e11
400.0	 0.85 	 9.629655836804031e10
400.0	 0.9 	 9.1532671657908e10
400.0	 0.91 	 8.900193102620766e10
400.0	 0.92 	 8.920732457597311e10
400.0	 0.93 	 8.915667097692722e10
400.0	 0.94 	 8.668711150676076e10
400.0	 0.95 	 8.667971803922737e10
400.0	 0.96 	 8.432089723377997e10
400.0	 0.97 	 8.442610208090492e10
400.0	 0.98 	 8.466814773194049e10
400.0	 0.99 	 8.220273683658073e10
400.0	 1.0 	 0.0
450.0	 -1.0 	 0.0
450.0	 -0.99 	 9.67243426704624e10
450.0	 -0.98 	 9.645844817493964e10
450.0	 -0.97 	 9.881763761719754e10
450.0	 -0.96 	 1.0134778976997112e11
450.0	 -0.95 	 1.0121639343122083e11
450.0	 -0.94 	 1.0384682850016023e11
450.0	 -0.93 	 1.0347377255050916e11
450.0	 -0.92 	 1.064268813876667e11
450.0	 -0.91 	 1.0869405169716614e11
450.0	 -0.9 	 1.083083210809505e11
450.0	 -0.85 	 1.1543933550657036e11
450.0	 -0.8 	 1.2237415561054677e11
450.0	 -0.75 	 1.291528546094395e11
450.0	 -0.7 	 1.3381363493075359e11
450.0	 -0.65 	 1.404614855165983e11
450.0	 -0.6 	 1.4678909231863992e11
450.0	 -0.55 	 1.535117880174432e11
450.0	 -0.5 	 1.5750177032350192e11
450.0	 -0.45 	 1.6377606299539224e11
450.0	 -0.4 	 1.698959585966399e11
450.0	 -0.35 	 1.737950238024341e11
450.0	 -0.3 	 1.796942430820708e11
450.0	 -0.25 	 1.85548325065805e11
450.0	 -0.2 	 1.8932832815883856e11
450.0	 -0.15 	 1.9499942615151385e11
450.0	 -0.1 	 1.989881665466581e11
450.0	 -0.05 	 1.9571191661630084e11
450.0	 0.0 	 1.8930771989316425e11
450.0	 0.05 	 1.801193159657654e11
450.0	 0.1 	 1.742556517075926e11
450.0	 0.15 	 1.679462870737626e11
450.0	 0.2 	 1.5912936749021396e11
450.0	 0.25 	 1.533752776705352e11
450.0	 0.3 	 1.4480534478590878e11
450.0	 0.35 	 1.3931470717570947e11
450.0	 0.4 	 1.3386424847065845e11
450.0	 0.45 	 1.285135088710323e11
450.0	 0.5 	 1.2042806726843614e11
450.0	 0.55 	 1.1534974732312827e11
450.0	 0.6 	 1.1017013153507433e11
450.0	 0.65 	 1.0521162806937497e11
450.0	 0.7 	 9.751398571569759e10
450.0	 0.75 	 9.268606943642531e10
450.0	 0.8 	 8.811384094394423e10
450.0	 0.85 	 8.329178632679202e10
450.0	 0.9 	 7.870022464152676e10
450.0	 0.91 	 7.6256369749126e10
450.0	 0.92 	 7.641865512963745e10
450.0	 0.93 	 7.395063171130449e10
450.0	 0.94 	 7.402086752680168e10
450.0	 0.95 	 7.403093325040504e10
450.0	 0.96 	 7.175770094693887e10
450.0	 0.97 	 7.186015464767485e10
450.0	 0.98 	 6.963195417012607e10
450.0	 0.99 	 6.971384351842642e10
450.0	 1.0 	 0.0
500.0	 -1.0 	 0.0
500.0	 -0.99 	 8.27880687431898e10
500.0	 -0.98 	 8.253926204700563e10
500.0	 -0.97 	 8.499607411216016e10
500.0	 -0.96 	 8.761800667529875e10
500.0	 -0.95 	 8.748750540720222e10
500.0	 -0.94 	 9.018734611684732e10
500.0	 -0.93 	 8.98404364845228e10
500.0	 -0.92 	 9.282533839796909e10
500.0	 -0.91 	 9.520049652241219e10
500.0	 -0.9 	 9.483436900588042e10
500.0	 -0.85 	 1.0479868589601822e11
500.0	 -0.8 	 1.1190962678275935e11
500.0	 -0.75 	 1.1885862895965562e11
500.0	 -0.7 	 1.2597662912331302e11
500.0	 -0.65 	 1.327471162402585e11
500.0	 -0.6 	 1.3919889126260175e11
500.0	 -0.55 	 1.482133223603298e11
500.0	 -0.5 	 1.5440133067510757e11
500.0	 -0.45 	 1.606630034781337e11
500.0	 -0.4 	 1.667798047640131e11
500.0	 -0.35 	 1.7270856592961487e11
500.0	 -0.3 	 1.7659229521131738e11
500.0	 -0.25 	 1.8245391015938147e11
500.0	 -0.2 	 1.881388791434318e11
500.0	 -0.15 	 1.937823315735058e11
500.0	 -0.1 	 1.9774187213722784e11
500.0	 -0.05 	 1.945049455491636e11
500.0	 0.0 	 1.8499139714264194e11
500.0	 0.05 	 1.7597152300697318e11
500.0	 0.1 	 1.701988103864043e11
500.0	 0.15 	 1.6102528380849066e11
500.0	 0.2 	 1.5232289575039603e11
500.0	 0.25 	 1.4675309807824844e11
500.0	 0.3 	 1.3835055520661526e11
500.0	 0.35 	 1.3014575671715962e11
500.0	 0.4 	 1.2488081771315329e11
500.0	 0.45 	 1.1698356040171649e11
500.0	 0.5 	 1.1176816014667786e11
500.0	 0.55 	 1.0425018284759149e11
500.0	 0.6 	 9.924072379632047e10
500.0	 0.65 	 9.188752867225757e10
