###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
250.0	 -0.1 	 1.665457274848537e9
250.0	 -0.05 	 1.5086566002137897e9
250.0	 0.0 	 1.41273701392416e9
250.0	 0.05 	 1.3221055918033848e9
250.0	 0.1 	 1.235133766481965e9
250.0	 0.15 	 1.1514008343252473e9
250.0	 0.2 	 1.0726486007800076e9
250.0	 0.25 	 9.972406381566391e8
250.0	 0.3 	 9.267402911448946e8
250.0	 0.35 	 8.579275701229291e8
250.0	 0.4 	 7.9395276873356e8
250.0	 0.45 	 7.674693214454442e8
250.0	 0.5 	 7.046489864574418e8
250.0	 0.55 	 6.48668260589763e8
250.0	 0.6 	 6.249920152784562e8
250.0	 0.65 	 5.741119640346065e8
250.0	 0.7 	 5.500134967759653e8
250.0	 0.75 	 5.0403733183040524e8
250.0	 0.8 	 4.8349079394498885e8
250.0	 0.85 	 4.3977110272752565e8
250.0	 0.9 	 4.2319522302545035e8
250.0	 0.91 	 4.244713776723583e8
250.0	 0.92 	 4.2733927629798436e8
250.0	 0.93 	 4.050073278739742e8
250.0	 0.94 	 4.0859277682938623e8
250.0	 0.95 	 4.089079594043108e8
250.0	 0.96 	 4.1135657581051123e8
250.0	 0.97 	 3.908969128608649e8
250.0	 0.98 	 3.9774424439282054e8
250.0	 0.99 	 3.9744816020310676e8
250.0	 1.0 	 0.0
300.0	 -1.0 	 0.0
300.0	 -0.99 	 1.247777243732621e9
300.0	 -0.98 	 1.309590338915869e9
300.0	 -0.97 	 1.305684346058011e9
300.0	 -0.96 	 1.346234542114362e9
300.0	 -0.95 	 1.3933113789350233e9
300.0	 -0.94 	 1.4288216427124445e9
300.0	 -0.93 	 1.469466127167519e9
300.0	 -0.92 	 1.504050101339822e9
300.0	 -0.91 	 1.5372829401116686e9
300.0	 -0.9 	 1.5706824768642538e9
300.0	 -0.85 	 1.777274094532512e9
300.0	 -0.8 	 1.7709693123820152e9
300.0	 -0.75 	 1.769450002384899e9
300.0	 -0.7 	 1.7753461810719166e9
300.0	 -0.65 	 1.783266806208815e9
300.0	 -0.6 	 1.7884641147623084e9
300.0	 -0.55 	 1.795826446192232e9
300.0	 -0.5 	 1.8059013592650087e9
300.0	 -0.45 	 1.8223280304369078e9
300.0	 -0.4 	 1.8293370657467985e9
300.0	 -0.35 	 1.8394997779043791e9
300.0	 -0.3 	 1.8490239983139544e9
300.0	 -0.25 	 1.8022968351146674e9
300.0	 -0.2 	 1.638841882945126e9
300.0	 -0.15 	 1.5412057580362551e9
300.0	 -0.1 	 1.3954382469342964e9
300.0	 -0.05 	 1.2596827709980934e9
300.0	 0.0 	 1.133304704186749e9
300.0	 0.05 	 1.0574315331048414e9
300.0	 0.1 	 9.456020830302591e8
300.0	 0.15 	 8.774620081372963e8
300.0	 0.2 	 8.137698362815682e8
300.0	 0.25 	 7.195684087683866e8
300.0	 0.3 	 6.642243037516081e8
300.0	 0.35 	 6.101764439121991e8
300.0	 0.4 	 5.599744368904824e8
300.0	 0.45 	 5.1302051867891693e8
300.0	 0.5 	 4.658035886173768e8
300.0	 0.55 	 4.233688409217618e8
300.0	 0.6 	 4.058528006879412e8
300.0	 0.65 	 3.67483950178967e8
300.0	 0.7 	 3.2959805584538e8
300.0	 0.75 	 3.1538926973867613e8
300.0	 0.8 	 2.8166119892085505e8
300.0	 0.85 	 2.6775858393379006e8
300.0	 0.9 	 2.3846911980749458e8
300.0	 0.91 	 2.39353179942747e8
300.0	 0.92 	 2.4094180725592515e8
300.0	 0.93 	 2.4191042761548853e8
300.0	 0.94 	 2.2733263838192174e8
300.0	 0.95 	 2.2788910478480813e8
300.0	 0.96 	 2.291980242275187e8
300.0	 0.97 	 2.3135385819941422e8
300.0	 0.98 	 2.1894076761970538e8
300.0	 0.99 	 2.19030429456282e8
300.0	 1.0 	 0.0
350.0	 -1.0 	 0.0
350.0	 -0.99 	 8.742513087565016e8
350.0	 -0.98 	 9.510519914145129e8
350.0	 -0.97 	 1.0035462703330998e9
350.0	 -0.96 	 1.0968250070804088e9
350.0	 -0.95 	 1.1541268340684326e9
350.0	 -0.94 	 1.2326354455244331e9
350.0	 -0.93 	 1.3068046320348687e9
350.0	 -0.92 	 1.4010876314363482e9
350.0	 -0.91 	 1.512348280971062e9
350.0	 -0.9 	 1.6284143287212036e9
350.0	 -0.85 	 1.6298683552677138e9
350.0	 -0.8 	 1.6364274123102648e9
350.0	 -0.75 	 1.64558562250043e9
350.0	 -0.7 	 1.6601971260033379e9
350.0	 -0.65 	 1.6760842141574187e9
350.0	 -0.6 	 1.6875436038326206e9
350.0	 -0.55 	 1.7008554450882108e9
350.0	 -0.5 	 1.7162055702207606e9
350.0	 -0.45 	 1.736994925248506e9
350.0	 -0.4 	 1.7487670024128282e9
350.0	 -0.35 	 1.76254801039463e9
350.0	 -0.3 	 1.7760353632822227e9
350.0	 -0.25 	 1.5658091170820348e9
350.0	 -0.2 	 1.371233098368997e9
350.0	 -0.15 	 1.2419166671537042e9
350.0	 -0.1 	 1.119166482833485e9
350.0	 -0.05 	 9.654543056778258e8
350.0	 0.0 	 8.626205885188661e8
350.0	 0.05 	 7.670680365406243e8
350.0	 0.1 	 6.792666353234595e8
350.0	 0.15 	 6.262140333516208e8
350.0	 0.2 	 5.486981340942408e8
