# Integrands of the sigma_i: q^(2-i) * P(q) / (2 pi^2)
# Input Power Spectrum: WideA_ZA_pk.dat
# q 	 integrand_i=0 	 integrand_i=1 	 integrand_i=2 	 integrand_i=3 	 integrand_i=4
8.361915304916317e-5 	 1.298731517771564e-7 	 0.0015531507679920956 	 18.574103077544134 	 222127.37632756995 	 2.656417438203088e9
8.909938096776116e-5 	 1.5671589220380281e-7 	 0.00175888867578673 	 19.74075079627264 	 221558.78729859457 	 2.486647885676795e9
9.49387717927582e-5 	 1.8910599858073415e-7 	 0.001991873235873891 	 20.9806088520078 	 220990.94454061784 	 2.3277207021702247e9
0.00010116086432495807 	 2.2818967526341258e-7 	 0.002255711008265025 	 22.29825756548527 	 220423.7549202505 	 2.1789429775153503e9
0.00010779074004992735 	 2.753498744499689e-7 	 0.0025544854253939644 	 23.698560972962593 	 219857.1135329965 	 2.0396660550912013e9
0.00011485512424239381 	 3.3225516792358136e-7 	 0.0028928197162747375 	 25.186683966922025 	 219290.90350176513 	 1.909282715492665e9
0.00012238249369681925 	 4.0091869154169735e-7 	 0.0032759480496851266 	 26.768109970047696 	 218724.99212477973 	 1.7872245083241386e9
0.00013040319151841315 	 4.837692456917682e-7 	 0.0037097960568201215 	 28.448659987714272 	 218159.23104686645 	 1.6729592926877255e9
0.00013894954943731373 	 5.837370432710757e-7 	 0.004201071868422468 	 30.234512349518315 	 217593.45368124737 	 1.5659889115323355e9
0.00014805601813899116 	 7.043571166638392e-7 	 0.00475736903853923 	 32.13222331883284 	 217027.47191720328 	 1.465847012807433e9
0.00015775930613623614 	 8.498940225345617e-7 	 0.005387282965105203 	 34.148749110578045 	 216461.07571675183 	 1.3720970319799876e9
0.00016809852774253637 	 1.02549219562394e-6 	 0.006100542398530746 	 36.291468345722095 	 215894.0285384709 	 1.2843302760458393e9
0.00017911536074332322 	 1.237357230046195e-6 	 0.006908158099401416 	 38.568205824072116 	 215326.06507903765 	 1.2021641482084014e9
