###################################
#   ____       ____  ____  _____  #
#  / ___| __ _|  _ \/ ___|| ____| #
# | |  _ / _` | |_) \___ \|  _|   #
# | |_| | (_| |  __/ ___) | |___  # 
#  \____|\__,_|_|   |____/|_____| #
###################################
# 
#
# The first zero of the spherical Bessel function j_l(x), for x > 0 .
#
# Least-squares straight line over 0 <= l <= 100 :
#   x = 4.7466467862140505 + 1.051276530576155 * l
#
# l 	 first_zero 	 linear_fit 	 l + 1.8557 l^(1/3)
63 	 71.16246099855763 	 70.97706821251182 	 70.38393646069333
64 	 72.19978093324573 	 72.02834474308798 	 71.4228
65 	 73.23673070491009 	 73.07962127366415 	 72.46126079021371
66 	 74.27331941466693 	 74.13089780424028 	 73.4993291062686
67 	 75.30955580992159 	 75.18217433481644 	 74.53701480999705
68 	 76.34544830274305 	 76.2334508653926 	 75.57432737262802
69 	 77.38100498747187 	 77.28472739596876 	 76.61127589574865
70 	 78.41623365697359 	 78.33600392654492 	 77.64786913085473
71 	 79.4511418178945 	 79.38728045712105 	 78.68411549760398
72 	 80.48573670491899 	 80.43855698769721 	 79.72002310087484
73 	 81.52002529431425 	 81.48983351827337 	 80.75559974672466
74 	 82.55401431626291 	 82.54111004884953 	 81.79085295733226
75 	 83.58771026683954 	 83.59238657942569 	 82.82578998500227
76 	 84.62111941884606 	 84.64366311000185 	 83.86041782530181
77 	 85.65424783257654 	 85.69493964057799 	 84.89474322939391
78 	 86.68710136536919 	 86.74621617115415 	 85.92877271562682
79 	 87.71968568087439 	 87.7974927017303 	 86.96251258043253
80 	 88.75200625789373 	 88.84876923230647 	 87.99596890858433
81 	 89.78406839843598 	 89.90004576288263 	 89.02914758285837
82 	 90.81587723555833 	 90.95132229345876 	 90.06205429314082
83 	 91.84743774078058 	 92.00259882403492 	 91.09469454501874
84 	 92.87875473078606 	 93.05387535461108 	 92.12707366788996
85 	 93.90983287419388 	 94.10515188518724 	 93.15919682262393
86 	 94.94067669761841 	 95.1564284157634 	 94.19106900880381
87 	 95.97129059165755 	 96.20770494633953 	 95.22269507157688
88 	 97.00167881638166 	 97.2589814769157 	 96.25407970813896
89 	 98.03184550660902 	 98.31025800749185 	 97.28522747387623
90 	 99.06179467703839 	 99.36153453806801 	 98.31614278818613
91 	 100.09153022688284 	 100.41281106864417 	 99.34682993999759
92 	 101.12105594436062 	 101.46408759922033 	 100.3772930930091
93 	 102.15037551118672 	 102.51536412979647 	 101.40753629066214
94 	 103.17949250649315 	 103.56664066037263 	 102.43756346086576
95 	 104.20841041075005 	 104.61791719094879 	 103.46737842048759
96 	 105.23713260961529 	 105.66919372152495 	 104.49698487962488
97 	 106.26566239707083 	 106.72047025210111 	 105.5263864456686
98 	 107.29400297934384 	 107.77174678267724 	 106.55558662717286
99 	 108.32215747775803 	 108.8230233132534 	 107.58458883754041
100 	 109.35012893172777 	 109.87429984382956 	 108.61339639853523
