###############
#    GaPSE    #
############### 
#
# The Cosmology considered had the following paremeters:
# 
# - Matter Power Spectrum input file: "../test/datatest/file_pk.txt"
# - Background data input file: "../data/WideA_ZA_background.dat"
# - F window function input file: "../data/F_REFERENCE_pi2.txt"
# - Integrated F window function input file: "../data/IntegrF_REFERENCE_pi2_z115.txt"
#
# - Basic CosmoParams considered: 
#	 z_min = 1.0 	 z_max = 1.5
#	 θ_max = 1.5707963267948966 [rad] 	 h_0 = 0.7
#	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
#	 b = 1.5 	 f_evo = 0.0 	 s_b = 0.0
#
# - CosmoParams about the Input Power Spectrum: 
#	 fit_left_min = 1.0e-6 	 fit_right_min = 10.0 	 
#	 fit_left_max = 3.0e-6 	 fit_right_max = 20.0 	 
#
# - CosmoParams about the Input Power Spectrum Tools: 
#	 k_max = 10.0 	 fit_max = 0.5 	 N = 1024 	 
#	 con = true 	 k_min = 1.0e-8 	 fit_min = 0.05 	 
#
# - Computed quantities: 
# 	 effective redshift z_eff = 1.2613556177172358 
# 	 comoving s_min = 2312.5774317555542 Mpc/h_0
# 	 comoving s_max = 3054.483020067565 Mpc/h_0
# 	 comoving s_eff = 2725.877200832351 Mpc/h_0
# 	 Volume of the survey V_survey = 3.3783056930052956e10 Mpc^3/h_0^3
# 	 σ_0 = 15.593462966741178
# 	 σ_1 = 15.074895881392285
# 	 σ_2 = 100.85852368830226
# 	 σ_3 = 3735.1226181519773
# 	 σ_4 = 3.415930015488999e6
# 	 (where σ_i = \int_{k_{min}}^{k_{max}}\frac{dq}{2 π^2} q^{2-i} P(q))
# 
#
#
#
# LIST = auto_newton + auto_lensing + lensing_newton + newton_lensing + doppler_newton + newton_doppler + doppler_lensing + lensing_doppler + newton_integratedgp + integratedgp_newton
# k 	 P_0^{ppg} 	 P_0^{GNCsum} 	 P_0^{S} 	 P_0^{GNCsum - LIST}
0.00022813261165268356 	 14896.428682947262 	 16141.570722220013 	  352.32669287236376 	 791.3834113192103 
0.00023215309713876472 	 14897.193157518066 	 16142.083545680138 	  352.0690641161198 	 790.4548990835722 
0.0002362444374817058 	 14897.983724224232 	 16142.61377327743 	  351.8027473516544 	 789.4954218229844 
0.00024040788138909695 	 14898.80087186987 	 16143.161597401715 	  351.52746682070875 	 788.5040263408581 
0.00024464469957507335 	 14899.646185576705 	 16143.728287098149 	  351.24293959809626 	 787.4797267158879 
0.0002489561851481472 	 14900.519875492879 	 16144.31377334348 	  350.94887416617837 	 786.4215201928812 
0.00025334365400587496 	 14901.423172209454 	 16144.91893936425 	  350.644972714359 	 785.328375808464 
0.0002578084452364774 	 14902.35721160746 	 16145.544606304313 	  350.3309280987816 	 784.1992372381329 
0.00026235192152754104 	 14903.322453484714 	 16146.190901623411 	  350.00642635726916 	 783.0330265188868 
0.0002669754695819192 	 14904.320396516157 	 16146.858956896973 	  349.6711450130515 	 781.8286387124215 
0.0002716805005409646 	 14905.351909170839 	 16147.549299542568 	  349.3247535218425 	 780.5849427307336 
0.0002764684504152208 	 14906.417765484452 	 16148.262329840303 	  348.9669132512854 	 779.3007882543418 
0.0002813407805227019 	 14907.51962985285 	 16148.999318976203 	  348.5972776385002 	 777.974992685889 
0.0002862989779348997 	 14908.658056282553 	 16149.76045403671 	  348.21549103353976 	 776.6063558658992 
0.00029134455593064697 	 14909.834446321138 	 16150.54671093476 	  347.8211907993255 	 775.1936501019628 
0.0002964790544579822 	 14911.05012199483 	 16151.35900883851 	  347.41400464339307 	 773.7356233898878 
0.00030170404060415456 	 14912.305869279338 	 16152.197713028452 	  346.9935530244851 	 772.231003108301 
0.0003070211090739079 	 14913.603331394901 	 16153.064014311434 	  346.55944765776525 	 770.6784917488893 
0.00031243188267619944 	 14914.943635824708 	 16153.958605087772 	  346.1112920699096 	 769.0767684381665 
