# The input matter Power Spectrum as InputPS returns it,
# together with its two asymptotic power laws.
# Input file: WideA_ZA_pk.dat, tabulated on [2.056154633223e-7, 20.22821679002]
# q 	 P(q) 	 left_powerlaw 	 right_powerlaw
9.130198930340576e-8 	 0.5259711834622968 	 0.5259711834622968 	 3.58277369144932e20
9.25727662828307e-8 	 0.5329970817670119 	 0.5329970817670119 	 3.4543365034994663e20
9.386123043581842e-8 	 0.5401168316904854 	 0.5401168316904854 	 3.330503600572646e20
9.516762793940367e-8 	 0.5473316868982219 	 0.5473316868982219 	 3.211109925796226e20
9.649220839700998e-8 	 0.5546429178021308 	 0.5546429178021308 	 3.0959963393446353e20
9.783522488613943e-8 	 0.5620518117842241 	 0.5620518117842241 	 2.985009406321909e20
9.919693400672625e-8 	 0.5695596734233017 	 0.5695596734233017 	 2.8780011922483148e20
1.0057759593016344e-7 	 0.5771678247246662 	 0.5771678247246662 	 2.774829065878487e20
1.0197747444901174e-7 	 0.5848776053529045 	 0.5848776053529045 	 2.6753555090882488e20
1.0339683702740043e-7 	 0.5926903728677799 	 0.5926903728677799 	 2.579447933576705e20
1.0483595485212971e-7 	 0.6006075029632755 	 0.6006075029632755 	 2.486978504139302e20
1.0629510288448402e-7 	 0.608630389709828 	 0.608630389709828 	 2.3978239682762988e20
1.0777455991276772e-7 	 0.6167604457998056 	 0.6167604457998056 	 2.3118654919094626e20
1.0927460860556975e-7 	 0.6249991027962508 	 0.6249991027962508 	 2.2289885009882068e20
1.107955355657718e-7 	 0.633347811384959 	 0.633347811384959 	 2.149082528773791e20
1.1233763138530712e-7 	 0.6418080416299181 	 0.6418080416299181 	 2.072041068598222e20
1.1390119070068172e-7 	 0.6503812832321615 	 0.6503812832321615 	 1.9977614319015173e20
1.1548651224926836e-7 	 0.6590690457920791 	 0.6590690457920791 	 1.9261446113581266e20
1.1709389892638396e-7 	 0.6678728590752316 	 0.6678728590752316 	 1.8570951489100733e20
1.1872365784316157e-7 	 0.6767942732817159 	 0.6767942732817159 	 1.790521008530908e20
1.2037610038522768e-7 	 0.6858348593191291 	 0.6858348593191291 	 1.7263334535508948e20
1.2205154227219636e-7 	 0.6949962090791778 	 0.6949962090791778 	 1.664446928379905e20
1.237503036179914e-7 	 0.7042799357179831 	 0.7042799357179831 	 1.604778944470374e20
1.2547270899200798e-7 	 0.7136876739401297 	 0.7136876739401297 	 1.5472499703683187e20
1.2721908748112575e-7 	 0.7232210802865088 	 0.7232210802865088 	 1.491783325705866e20
1.289897727525849e-7 	 0.7328818334260077 	 0.7328818334260077 	 1.4383050789939908e20
1.3078510311773747e-7 	 0.7426716344510925 	 0.7426716344510925 	 1.3867439490792363e20
1.3260542159668586e-7 	 0.7525922071773434 	 0.7525922071773434 	 1.3370312101330695e20
1.344510759838211e-7 	 0.7626452984469873 	 0.7626452984469873 	 1.2891006000472243e20
1.363224189142733e-7 	 0.7728326784364877 	 0.7728326784364877 	 1.2428882321129385e20
1.38219807931287e-7 	 0.7831561409682418 	 0.7831561409682418 	 1.198332509866363e20
1.40143605554534e-7 	 0.7936175038264419 	 0.7936175038264419 	 1.155374044986638e20
1.4209417934937755e-7 	 0.804218609077156 	 0.804218609077156 	 1.1139555781372002e20
1.440719019971001e-7 	 0.8149613233926839 	 0.8149613233926839 	 1.0740219026448135e20
1.4607715136610867e-7 	 0.8258475383802462 	 0.8258475383802462 	 1.0355197909145995e20
1.481103105841313e-7 	 0.8368791709150633 	 0.8368791709150633 	 9.983979234829754e19
1.501717681114184e-7 	 0.8480581634778852 	 0.8480581634778852 	 9.62606820613942e19
1.5226191781496283e-7 	 0.8593864844970275 	 0.8593864844970275 	 9.28098776347548e19
1.543811590437531e-7 	 0.870866128694979 	 0.870866128694979 	 8.948277949126143e19
1.5652989670507396e-7 	 0.8824991174396383 	 0.8824991174396383 	 8.627495294189724e19
1.5870854134186887e-7 	 0.8942874991002396 	 0.8942874991002396 	 8.318212227474984e19
1.609175092111794e-7 	 0.9062333494080382 	 0.9062333494080382 	 8.020016505591474e19
1.631572223636763e-7 	 0.9183387718218095 	 0.9183387718218095 	 7.732510663470336e19
