###################################
#   ____       ____  ____  _____  #
#  / ___| __ _|  _ \/ ___|| ____| #
# | |  _ / _` | |_) \___ \|  _|   #
# | |_| | (_| |  __/ ___) | |___  # 
#  \____|\__,_|_|   |____/|_____| #
###################################
# 
#
# The I_l^n integrals evaluated in the following comoving separations.
# Input Power Spectrum file: WideA_ZA_pk.dat
#
# The I_l^n are integrated over [1.0e-5, 1000.0] (the extremes
# `IPSTools` hands over to `xicalc`), and the sigma_i of the asymptotic
# limits must use the same ones:
#   sigma_-4 = 1.2699714253251158e13
#   sigma_-2 = 2.3467346052943926e7
#   sigma_0 = 143.28503956334472
#   sigma_2 = 101.12817125947123
#   sigma_4 = 1.4915596528577246e6
#
# For comparison, the sigma_i stored by `IPSTools` (over [1.0e-6, 10.0]):
#   sigma_0 = 18.584280735816282 	 sigma_2 = 101.06362200769537 	 sigma_4 = 2.074924034369007e6
#
# CAREFUL: outside [0.05, 96466.16199111959] (and [0.1, 9888.080416307215] for I04_tilde)
# these values are power-law extrapolations, NOT the integrals.
#
# s [h_0^{-1} Mpc] 	 I00 	 I20 	 I40 	 I02 	 I22 	 I31 	 I13 	 I11 	 I04_tilde
5.366140970934863e-6 	 1382.66528438481 	 108.4523989836844 	 76.95009286950553 	 3.5716652114033994e12 	 102.2070241569852 	 26.05464361548969 	 1.1723734199310286e12 	 487.82348953596227 	 -5.871714038616968e11
5.5389734903452515e-6 	 1365.9023494563887 	 107.41431731832269 	 76.09931555890088 	 3.3520576421083115e12 	 101.01329127696273 	 25.792551978333904 	 1.1003458189911482e12 	 482.0634121798017 	 -5.51094243476146e11
5.717372594742418e-6 	 1349.3413733514808 	 106.3860827803534 	 75.25793736600357 	 3.1459528737862046e12 	 99.83341192895435 	 25.533082382186773 	 1.0327434081903086e12 	 476.37091151723365 	 -5.1723374673075964e11
5.90151757254107e-6 	 1332.979922882427 	 105.36760196101969 	 74.42585445234423 	 2.952520672603602e12 	 98.66722533968115 	 25.276208595387015 	 9.692943152530045e11 	 470.74519474475295 	 -4.85453716717546e11
6.0915934866722e-6 	 1316.8155941764662 	 104.35878233762973 	 73.60296412662798 	 2.7709818525221973e12 	 97.5145726016734 	 25.02190464870252 	 9.097433710355441e11 	 465.1854783599522 	 -4.5562632477952405e11
6.2877913605685405e-6 	 1300.84601232255 	 103.35953226515178 	 72.78916483206079 	 2.600605136571799e12 	 96.3752966516174 	 24.770144832704933 	 8.538510833286844e11 	 459.69098805240094 	 -4.2763159634615045e11
6.4903083701402585e-6 	 1285.0688310224132 	 102.36976096788857 	 71.98435613381577 	 2.440704211111184e12 	 95.24924224895364 	 24.52090369517049 	 8.013926737071857e11 	 454.2609585958071 	 -4.013569283601986e11
6.6993480419337205e-6 	 1269.4817322458532 	 101.38937853123122 	 71.18843870663832 	 2.2906349612108535e12 	 94.13625595472355 	 24.274156038506916 	 7.521571735528615e11 	 448.8946337414432 	 -3.766966363550468e11
6.9151204576726865e-6 	 1254.0824258901514 	 100.41829589349064 	 70.40131432258755 	 2.1497928760210706e12 	 93.03618611066118 	 24.029876917205947 	 7.059465756156122e11 	 443.591266112821 	 -3.5355152936056323e11
7.13784246538723e-6 	 1238.8686494436095 	 99.45642483780709 	 69.62288583891372 	 2.0176106136736494e12 	 91.94888281852803 	 23.78804163532145 	 6.625750377003921e11 	 438.3501171016041 	 -3.3182851092776514e11
7.367737897342759e-6 	 1223.8381676531317 	 98.5036779841362 	 68.85305718606939 	 1.8935557159082617e12 	 90.87419791968762 	 23.548625743972732 	 6.218681352775804e11 	 433.17045676474055 	 -3.114402046674331e11
7.605037794988069e-6 	 1208.9887721958173 	 97.55996878131097 	 68.09173335585297 	 1.7771284632173416e12 	 89.81198497491691 	 23.311605038872813 	 5.836621600110494e11 	 428.0515637228029 	 -2.9230460279649396e11
7.849980641148523e-6 	 1194.3182813545054 	 96.62521149917917 	 67.33882038968335 	 1.6678598618696453e12 	 88.7620992444522 	 23.07695555788144 	 5.4780346138285895e11 	 422.99272505951996 	 -2.743447362785224e11
8.102812599697723e-6 	 1179.82453969723 	 95.69932122081521 	 66.5942253670039 	 1.5653097547037668e12 	 87.72439766826643 	 22.844653578582577 	 5.141478287668289e11 	 417.993236222488 	 -2.574883652315662e11
8.363787762948423e-6 	 1165.505417760542 	 94.78221383480617 	 65.85785639381501 	 1.4690650480815264e12 	 86.69873884657576 	 22.61467561588618 	 4.825599114659334e11 	 413.0524009250479 	 -2.4166768835803262e11
8.633168407011584e-6 	 1151.3588117366355 	 93.87380602761054 	 65.12962259133268 	 1.3787380478589075e12 	 85.68498302057165 	 22.38699841965384 	 4.5291267438107623e11 	 408.16953104930974 	 -2.2681907022785837e11
8.91122525537985e-6 	 1137.3826431642551 	 92.97401527598983 	 64.40943408477284 	 1.2939648976716377e12 	 84.68299205337729 	 22.161598972348308 	 4.2508688712219934e11 	 403.34394655031946 	 -2.1288278531803998e11
9.198237751000601e-6 	 1123.5748586233196 	 92.08275983951181 	 63.6972019922596 	 1.2144041132443706e12 	 83.69262941122462 	 21.938454486706476 	 3.9897064450707336e11 	 398.57497536134736 	 -1.9980277777895767e11
9.494494337111909e-6 	 1109.9334294332295 	 91.19995875312496 	 62.99283841385575 	 1.139735206819414e12 	 82.7137601448499 	 21.717542403435658 	 3.744589165194122e11 	 393.86195330028835 	 -1.8752643596120996e11
9.800292747123664e-6 	 1096.4563513548044 	 90.32553181980315 	 62.296256420714705 	 1.069657396163887e12 	 81.7462508711052 	 21.498840388932866 	 3.514531259163971e11 	 389.20422397715964 	 -1.7600438079603662e11
1.0115940303835104e-5 	 1083.1416442958189 	 89.45939960326051 	 61.60737004435227 	 1.0038883929549429e12 	 80.78996975478343 	 21.282326333027036 	 3.2986075178691364e11 	 384.60113870268606 	 -1.651902671781382e11
1.0441754228289704e-5 	 1069.9873520200763 	 88.60148342073482 	 60.926094266036706 	 9.42163265662354e11 	 79.84478649065382 	 21.067978346743633 	 3.0959495746613464e11 	 380.052056397954 	 -1.550405975519849e11
1.0778061958577487e-5 	 1056.9915418599953 	 87.75170533583983 	 60.252345006296224 	 8.84233372347988e11 	 78.9105722857065 	 20.855774760091816 	 2.905742413100855e11 	 375.5563435051283 	 -1.4551454695181744e11
1.1125201478905385e-5 	 1044.1523044326575 	 86.90998815148518 	 59.58603911454238 	 8.298653590832062e11 	 77.98719984160267 	 20.64569411987363 	 2.7272210892571426e11 	 371.1133738992159 	 -1.365737987915897e11
1.1483521659266285e-5 	 1031.4677533592726 	 86.07625540286358 	 58.927094358808034 	 7.788402199496172e11 	 77.07454333732879 	 20.437715187515163 	 2.5596676553830133e11 	 366.7225288008638 	 -1.2818239074435432e11
1.1853382606048142e-5 	 1018.9360249880282 	 85.2504313505043 	 58.2754294155987 	 7.30952414836665e11 	 76.17247841205163 	 20.231816936919365 	 2.4024082725902228e11 	 362.3831966901809 	 -1.2030657009117343e11
1.2235156023935385e-5 	 1006.555278120277 	 84.43244097339306 	 57.63096385985613 	 6.860090414823689e11 	 75.28088214817294 	 20.027978552340407 	 2.2548105009149234e11 	 358.0947732215717 	 -1.1291465795772655e11
1.2629225589466672e-5 	 994.32369374002 	 83.62220996215632 	 56.99361815503253 	 6.438290584219744e11 	 74.39963305457998 	 19.826179426279214 	 2.116280755874399e11 	 353.85666113956626 	 -1.0597692189252878e11
1.303598733662394e-5 	 982.2394747466531 	 82.81966471231117 	 56.36331364327462 	 6.04242555714449e11 	 73.52861105009111 	 19.626399157400133 	 1.9862619212865057e11 	 349.66827019564056 	 -9.946545627424068e10
1.3455850054840626e-5 	 970.3008456909313 	 82.02473231757857 	 55.73997253571616 	 5.670900705091064e11 	 72.66769744709316 	 19.428617548468413 	 1.8642311087512704e11 	 345.5290170660119 	 -9.335407006702563e10
1.3889235699828882e-5 	 958.5060525141142 	 81.23734056326039 	 55.12351790287761 	 5.322219446953349e11 	 71.81677493536871 	 19.232814604308317 	 1.749697554784188e11 	 341.4383252703978 	 -8.76181814724764e10
1.4336579817638758e-5 	 946.8533622902546 	 80.45741791967905 	 54.51387366517185 	 4.9949772204790234e11 	 70.97572756611113 	 19.038970529781643 	 1.6422006471442117e11 	 337.395625091729 	 -8.2234719054369e10
1.4798331982375302e-5 	 935.3410629715936 	 79.68489353567966 	 53.910964583515025 	 4.687855824394221e11 	 70.14444073612529 	 18.84706572778657 	 1.5413080724191034e11 	 333.40035349680477 	 -7.718202893854071e10
1.5274956248013942e-5 	 923.967463137018 	 78.91969723219341 	 53.31471625004067 	 4.399618108408371e11 	 69.32280117221114 	 18.657080797276336 	 1.4466140774182956e11 	 329.45195405787683 	 -7.243978771461748e10
1.5766931614767634e-5 	 912.7308917435543 	 78.1617594958624 	 52.72505507891686 	 4.129102989709839e11 	 68.51069691572901 	 18.4689965312979 	 1.3577378373813618e11 	 325.5498768751561 	 -6.798892068926251e10
1.62747525104749e-5 	 901.6296978808533 	 77.41101147272467 	 52.141908297264585 	 3.8752207758774396e11 	 67.70801730734381 	 18.28279391505019 	 1.2743219244395183e11 	 321.6935785002267 	 -6.381152516213172e10
1.6798929287492346e-5 	 890.6622505286338 	 76.66738496195936 	 51.56520393617651 	 3.6369487753676624e11 	 66.91465297194632 	 18.09845412396172 	 1.1960308701709135e11 	 317.88252186035925 	 -5.989079841593098e10
1.733998873559116e-5 	 879.8269383170469 	 75.93081240969093 	 50.99487082183489 	 3.4133271778956366e11 	 66.13049580374943 	 17.91595852178749 	 1.1225498164688043e11 	 314.11617618371156 	 -5.621097013092938e10
1.789847461137274e-5 	 869.1221692899328 	 75.20122690285255 	 50.430838566727864 	 3.203455188115277e11 	 65.3554389515575 	 17.735288658724954 	 1.0535832492969438e11 	 310.3940169254083 	 -5.27572389520816e10
1.8474948184736113e-5 	 858.54637067092 	 74.4785621631072 	 49.873037560962345 	 3.006487397023987e11 	 64.5893768042064 	 17.55642626954873 	 9.88853810239722e10 	 306.7155256944853 	 -4.951571295360936e10
1.9069988802945596e-5 	 848.0979886323529 	 73.7627525408268 	 49.321398963673275 	 2.8216303764754895e11 	 63.832204976172726 	 17.37935327176406 	 9.281011810676543e10 	 303.0801901816932 	 -4.647335376157844e10
1.968419447286611e-5 	 837.7754880669966 	 73.0537330091284 	 48.77585469452765 	 2.64813948308252e11 	 63.08382029334997 	 17.204051763778747 	 8.710810368322626e10 	 299.4875040881473 	 -4.361792410971155e10
2.0318182461951087e-5 	 827.5773523624949 	 72.35143915796681 	 48.23633742532235 	 2.485315858634921e11 	 62.344120778989826 	 17.030504023093314 	 8.175640632801164e10 	 295.9369670548146 	 -4.093793861749296e10
2.0972589918586946e-5 	 817.5020831785464 	 71.65580718828338 	 47.70278057167489 	 2.3325036149501633e11 	 61.613005639806474 	 16.85869250450934 	 7.673350346344225e10 	 292.42808459282793 	 -3.842261759257952e10
2.1648074512417707e-5 	 807.548200226761 	 70.96677390621021 	 47.17511828480588 	 2.1890871918162677e11 	 60.89037525224226 	 16.688599838355657 	 7.201919480353307e10 	 288.9603680146172 	 -3.606184367169742e10
2.234531509529288e-5 	 797.7142410531759 	 70.28427671732956 	 46.653285443412436 	 2.0544888773844165e11 	 60.17613114889294 	 16.520208828732372 	 6.759452111580152e10 	 285.5333343658504 	 -3.3846121125622765e10
2.3065012383503633e-5 	 787.9987608233829 	 69.60825362098721 	 46.13721764563107 	 1.9281664810227194e11 	 59.47017600508994 	 16.353502451772354 	 6.344168797413737e10 	 282.1465063581704 	 -3.1766537664556126e10
2.3807889661991945e-5 	 778.4003321102518 	 68.93864320466034 	 45.62685120108966 	 1.8096111492570975e11 	 58.77241362563889 	 16.188463853920197 	 5.95439941961029e10 	 278.799412302723 	 -2.981472859026412e10
2.457469351124113e-5 	 768.9175446842078 	 68.27538463837848 	 45.12212312304711 	 1.6983453160012726e11 	 58.082748931711706 	 16.02507635022837 	 5.588576467685933e10 	 275.49158604446376 	 -2.7982843150795055e10
2.536619455757797e-5 	 759.5490053060363 	 67.61841766919753 	 44.62297112061985 	 1.5939207788190244e11 	 57.401087947891035 	 15.863323422670415 	 5.245228734960414e10 	 272.2225668972362 	 -2.626351296243838e10
