###################################
#   ____       ____  ____  _____  #
#  / ___| __ _|  _ \/ ___|| ____| #
# | |  _ / _` | |_) \___ \|  _|   #
# | |_| | (_| |  __/ ___) | |___  # 
#  \____|\__,_|_|   |____/|_____| #
###################################
# 
#
# The I_l^n computed by direct quadrature (`I_direct`), and their ratio
# to the analytic small-s asymptote sigma_{n-l} s^{l-n} / (2l+1)!! .
# All the ratios must tend to 1 for s -> 0 .
#
# s [h_0^{-1} Mpc] 	 I00 	 I20 	 I40 	 I02 	 I22 	 I31 	 I13 	 I11 	 I00_ratio 	 I20_ratio 	 I40_ratio 	 I02_ratio 	 I22_ratio 	 I31_ratio 	 I13_ratio 	 I11_ratio
1.1513953993264481e-5 	 143.2845254215802 	 0.0002074051311314456 	 2.361883103873937e-10 	 7.628219376838977e11 	 9.552321447648382 	 2.9629338188536458e-5 	 2.542739792311507e11 	 47.76157760890396 	 0.9999964117554346 	 0.9999949306266182 	 0.9999960841595293 	 1.000000000113027 	 0.9999984796136451 	 0.9999960693984074 	 1.000000000125552 	 0.9999978592556923
1.3894954943731388e-5 	 143.28428879991282 	 0.00030205344057974667 	 5.009428623421112e-10 	 5.2379080244710205e11 	 9.552314687002845 	 4.315056307465842e-5 	 1.745969341522193e11 	 47.76153028445119 	 0.999994760350179 	 0.9999925920859748 	 0.9999941991443015 	 1.0000000000987306 	 0.9999977718657647 	 0.9999942505314153 	 1.000000000116974 	 0.9999968684100412
1.6768329368110066e-5 	 143.28394419769378 	 0.0004398935701415888 	 1.0624722919227553e-9 	 3.596603495167005e11 	 9.552304841169043 	 6.284209037341159e-5 	 1.1988678317541615e11 	 47.761461363754876 	 0.9999923553383223 	 0.9999891863655072 	 0.9999914539112119 	 1.0000000000779363 	 0.9999967411405231 	 0.9999916016333702 	 1.0000000001044835 	 0.9999954253976403
2.0235896477251556e-5 	 143.28344233971674 	 0.0006406351536048314 	 2.253442541560277e-9 	 2.469603635820029e11 	 9.552290502250587 	 9.151962957819619e-5 	 8.232012119718443e10 	 47.7613609916231 	 0.9999888528234849 	 0.9999842264701291 	 0.9999874559078403 	 1.0000000000476386 	 0.9999952400502662 	 0.9999877439277406 	 1.0000000000863105 	 0.9999933238775078
2.4420530945486497e-5 	 143.28271146584672 	 0.0009329812912342091 	 4.779413130949969e-9 	 1.6957504840793777e11 	 9.552269619887442 	 0.00013328372437819137 	 5.652501613916399e10 	 47.761214815712734 	 0.9999837519848191 	 0.999977003177398 	 0.9999816334485634 	 1.00000000000349 	 0.9999930539501113 	 0.999982125791607 	 1.000000000059832 	 0.9999902633505161
2.9470517025518096e-5 	 143.2816470720204 	 0.0013587315893164868 	 1.0136814566675168e-8 	 1.1643851112337761e11 	 9.55223920809952 	 0.00019410596087586463 	 3.881283704430979e10 	 47.761001934536274 	 0.9999763234784688 	 0.9999664836379704 	 0.9999731539758039 	 0.9999999999392409 	 0.9999898702484478 	 0.9999739438861136 	 1.0000000000212736 	 0.9999858061962219
3.5564803062231284e-5 	 143.28009697173115 	 0.001978756365563734 	 2.1499420350274422e-8 	 7.995236916940367e10 	 9.552194918383528 	 0.00028268255214058263 	 2.6650789726318592e10 	 47.76069190936518 	 0.9999655051802433 	 0.9999511637177463 	 0.9999608050293295 	 0.9999999998456366 	 0.9999852337159674 	 0.9999620283045982 	 0.9999999999651091 	 0.9999793151102291
4.291934260128778e-5 	 143.27783954500177 	 0.0028816945230547993 	 4.5598394588099524e-8 	 5.489920193804523e10 	 9.552130418067014 	 0.0004116771602070554 	 1.8299733982532627e10 	 47.76024041317476 	 0.9999497503831182 	 0.9999288529888448 	 0.9999428209160801 	 0.9999999997093285 	 0.9999784814077665 	 0.9999446753288028 	 0.999999999883332 	 0.9999698620048989
5.1794746792312125e-5 	 143.27455207114696 	 0.004196615063583387 	 9.670942240109049e-8 	 3.7696473594934235e10 	 9.55203648513138 	 0.0005995302532865411 	 1.2565491201495338e10 	 47.759582895403675 	 0.9999268067885543 	 0.99989636166997 	 0.9999166303233861 	 0.9999999995108396 	 0.9999686479035932 	 0.999919403907138 	 0.9999999997642262 	 0.9999560953666002
6.250551925273976e-5 	 143.2697646310985 	 0.00611144474070442 	 2.0510811123470049e-7 	 2.588424004721403e10 	 9.551899690289705 	 0.0008730928355450947 	 8.628080018921907e9 	 47.75862535861307 	 0.9998933947864147 	 0.9998490448476168 	 0.9998784888457936 	 0.9999999992217584 	 0.9999543273392735 	 0.9998826010945957 	 0.999999999590774 	 0.9999360471439764
7.543120063354622e-5 	 143.26279301737762 	 0.008899779861823161 	 4.3500006435548436e-7 	 1.7773383524750786e10 	 9.551700478335874 	 0.0012714592659839297 	 5.924461178100863e9 	 47.757230932413144 	 0.9998447392272432 	 0.9997801390111203 	 0.9998229440066521 	 0.9999999988007484 	 0.9999334725499908 	 0.9998290058855324 	 0.9999999993381703 	 0.9999068516423909
9.102981779915228e-5 	 143.25264112146695 	 0.012959880008023684 	 9.225391316404985e-7 	 1.2204073261606396e10 	 9.551410375409235 	 0.0018515432210221927 	 4.0680244237193084e9 	 47.755200333825044 	 0.9997738881743935 	 0.9996797964691275 	 0.9997420565473943 	 0.9999999981876594 	 0.9999031027087788 	 0.9997509579097278 	 0.9999999989703103 	 0.9998643364169154
0.00010985411419875583 	 143.237858974727 	 0.018871342827448113 	 1.956429657223387e-6 	 8.379912801948074e9 	 9.550987924958529 	 0.002696185608157906 	 2.7933042704997134e9 	 47.75224343918484 	 0.999670722158004 	 0.9995336805074891 	 0.9996242672106189 	 0.9999999972948298 	 0.9998588778770734 	 0.9996373041528135 	 0.999999998434587 	 0.999802427065125
0.00013257113655901095 	 143.2163364281997 	 0.027477401382182586 	 4.148779234493016e-6 	 5.754057439213125e9 	 9.550372775786277 	 0.003925935737345293 	 1.9180191495878215e9 	 47.74793794319409 	 0.9995205142466066 	 0.9993209223837743 	 0.9994527481990018 	 0.9999999959946577 	 0.9997944801031544 	 0.999471808627844 	 0.999999997654415 	 0.9997122816597735
0.00015998587196060574 	 143.18500357222487 	 0.04000426727412263 	 8.797158228704387e-6 	 3.951016887243658e9 	 9.549477086378973 	 0.005716152061764455 	 1.3170056322643661e9 	 47.741669279833225 	 0.9993018392469674 	 0.9990111522193418 	 0.9992030061785449 	 0.9999999941013625 	 0.999700713572116 	 0.9992308402620683 	 0.9999999965183202 	 0.999581032855712
